LOC_ID	METER NO.    CTR     PTR	     PLACE OF INSTALLATION
MN-13   NP-9799-A    1000    3636.3636    400 KV
MN-14   NP-9797-A    1000    3636.3636    400 KV      
MN-15   NP-9801-A    1000    1200.0000    132 KV MANGDECHHU - YURMO (MAIN)
MN-16   NP-9802-A    1000    1200.0000    132 KV MANGDECHHU - YURMO (CHECK)
MN-17   ER-1613-A    2000    3636.3636    400 KV JIGMELING(BHUTAN)(PUNATSANGCHUN) - ALIPURDUAR(PG) -1
MN-18   ER-1617-A    2000    3636.3636    400 KV JIGMELING(BHUTAN)(PUNATSANGCHUN) - ALIPURDUAR(PG) -2
MN-19   ER-1509-A    300     1200.0000    132 KV SIDE OF 80 MVA 220/132KV ICT 1 AT JIGMELING(BHUTAN)
MN-20   ER-1510-A    300     1200.0000    132 KV SIDE OF 80 MVA 220/132KV ICT 2 AT JIGMELING(BHUTAN)
MN-21   ER-1521-A    2000    3636.3636    400 KV JIGMELING(BHUTAN) - ALIPURDUAR(PG) -1
MN-22   ER-1528-A    2000    3636.3636    400 KV JIGMELING(BHUTAN) - ALIPURDUAR(PG) -2
MN-23   ER-2048-A    1000    3636.3636    400 KV SIDE OF 400/220KV ICT AT JIGMELING(BHUTAN)
RO-01   ER-1603-A    250     2000.0000    220 KV SIDE OF GT-1 OF RONGNICHU(MBPCL) HEP
RO-02   ER-1604-A    250     2000.0000    220 KV SIDE OF GT-2 OF RONGNICHU(MBPCL) HEP
RO-03   ER-1605-A    200     2000.0000    220 KV SIDE OF 220/11 KV ST-1 OF RONGNICHU(MBPCL) HEP
RO-04   ER-1601-A    400     2000.0000    220 KV RONGNICHU(MBPCL)-RANGPO(PG)-1
RO-05   ER-2026-A    400     2000.0000    220 KV RONGNICHU(MBPCL)-RANGPO(PG)-2
RG-01   NP-5919-A    150     1200.0000    132 KV SIDE OF RANGIT(NHPC) GEN.TRANS.- 1
RG-02   NP-5920-A    150     1200.0000    132 KV SIDE OF RANGIT(NHPC) GEN.TRANS.- 2
RG-03   NP-5921-A    150     1200.0000    132 KV SIDE OF RANGIT(NHPC) GEN.TRANS.- 3
RG-04   ER-2100-A    300     1200.0000    132 KV RANGIT (NHPC) - KURSEONG(WBSETCL)(MAIN)
RG-06   NP-6504-A    300     1200.0000    132 KV RANGIT (NHPC) - RAMMAM (WBSETCL) (MAIN)
RG-07   NP-5926-A    200     600.0000     66  KV RANGIT (NHPC) - RAVANGLA (SIKKIM) (MAIN)
RG-08   NP-5918-A    100     600.0000     66  KV SIDE OF RANGIT(NHPC) 66KV/11 KV TRANS
RG-10   NP-5925-A    300     1200.0000    132 KV RANGIT (NHPC) - SAGBARI (SIKKIM) (MAIN)
RG-11   NP-6506-A    300     1200.0000    132 KV RANGIT (NHPC) - RANGPO (PG) (MAIN)
RG-12   NP-8734-A    300     1200.0000    132 KV RANGIT (NHPC) - KURSEONG(WBSETCL)(CHECK)
