MASTER.DAT for the date 2018-01-01 to  2018-01-14
----------------------------------------------------

Loc_Id    Meter_No         CTR            PTR                    Place Of Installation
TS-07     NP-5895-A        1000           3636.3636              400 KV TEESTA-RANGPO-1 (CHECK)

TS-08     NP-5897-A        1000           3636.3636              400 KV TEESTA-RANGPO-2 (CHECK)

MR-01     ER-1122-A        1000           3636.3636              400 KV MAITHON RB(MPL)-MAITHON(PG)-1 (MAIN)

MR-02     ER-1123-A        1000           3636.3636              400 KV MAITHON RB(MPL)-MAITHON(PG)-2 (MAIN)

MR-03     NP-6549-A        1000           3636.3636              400 KV MAITHON RB(MPL)-MAITHON(PG)-1 (CHECK)

MR-04     NP-6550-A        1000           3636.3636              400 KV MAITHON RB(MPL)-MAITHON(PG)-2 (CHECK)

MR-05     NP-7568-A        1000           3636.3636              400 KV SIDE OF MAITHON RB(MPL) GT-1

MR-06     NP-7972-A        1000           3636.3636              400 KV SIDE OF MAITHON RB(MPL) GT-2

MR-07     NP-6552-A        500            3636.3636              400 KV SIDE OF MAITHON RB(MPL) STN TRF-1

MR-08     NP-7897-A        500            3636.3636              400 KV SIDE OF MAITHON RB(MPL) STN TRF-2

MR-09     ER-1124-A        1000           3636.3636              400 KV MAITHON RB(MPL)-RANCHI(PG)-I(MAIN)

MR-10     ER-1129-A        1000           3636.3636              400 KV MAITHON RB(MPL)-RANCHI(PG)-II(MAIN)

MR-11     NP-8679-A        1000           3636.3636              400 KV MAITHON RB(MPL)-RANCHI(PG)-I(CHECK)

MR-12     NP-5252-A        1000           3636.3636              400 KV MAITHON RB(MPL)-RANCHI(PG)-II(CHECK)

ST-01     NP-6540-A        2500           3636.3636              400 KV SIDE OF STERLITE GT-1

ST-02     NP-6528-A        2500           3636.3636              400 KV SIDE OF STERLITE GT-2

ST-03     NP-6555-A        2500           3636.3636              400 KV SIDE OF STERLITE GT-3

ST-04     NP-6556-A        2500           3636.3636              400 KV SIDE OF STERLITE GT-4

ST-05     NP-6543-A        1250           3636.3636              400 KV SIDE OF STN. TRANSF -1

ST-06     NP-6527-A        1250           3636.3636              400 KV SIDE OF STN. TRANSF -2

ST-09     NP-6539-A        1250           3636.3636              400 KV STERLITE - SUNDERGARH(PG)-II(MAIN)

ST-10     NP-6538-A        1250           3636.3636              400 KV STERLITE - SUNDERGARH(PG)-I(MAIN)

ST-11     NP-6537-A        1250           3636.3636              400 KV STERLITE - SUNDERGARH(PG)-II(CHECK)

ST-12     NP-6536-A        1250           3636.3636              400 KV STERLITE - SUNDERGARH(PG)-I(CHECK)

AP-01     NP-7836-A        500            3636.3636              400 KV SIDE OF APNRL 330 MVA 440/16.5KV GT-1

AP-02     NP-8643-A        500            3636.3636              400 KV SIDE OF APNRL 330 MVA 440/16.5KV GT-2

AP-03     NP-8642-A        2000           3636.3636              400 KV APNRL-JAMSHEDPUR(PG)-I

AP-04     ER-1290-A        2000           3636.3636              400 KV APNRL-JAMSHEDPUR(PG)-II

CZ-01     NP-7967-A        350            1200.0000              132 KV SIDE OF CHUZACHEN GT-1

CZ-02     NP-7968-A        350            1200.0000              132 KV SIDE OF CHUZACHEN GT-2

CZ-03     NP-7980-A        750            1200.0000              132 KV CHUZACHEN(GATI)-GANGTOK(PG)(MAIN)

CZ-04     NP-7981-A        750            1200.0000              132 KV CHUZACHEN(GATI)-GANGTOK(PG)(CHECK)

CZ-05     NP-7982-A        750            1200.0000              132 KV CHUZACHEN(GATI)-RANGPO(SIKKIM)(MAIN)

CZ-06     NP-7983-A        750            1200.0000              132 KV CHUZACHEN(GATI)-RANGPO(SIKKIM)(CHECK)

CZ-07     NP-7984-A        60             1200.0000              132 KV SIDE OF CHUZACHEN STN TRANSFORMER

JD-01     NP-7948-A        2500           3636.3636              400 KV SIDE OF JINDAL GT-1

JD-02     NP-7947-A        2500           3636.3636              400 KV SIDE OF JINDAL GT-2

JD-03     NP-7604-A        2500           3636.3636              400 KV JINDAL-ANGUL(PG) LINE-2 (MAIN)

JD-05     NP-7895-A        2500           3636.3636              400 KV JINDAL-ANGUL(PG) LINE-1 (MAIN)

GM-01     NP-7540-A        1500           3636.3636              400 kv SIDE OF GMR (GRIDCO) GT -1

GM-02     NP-7901-A        1500           3636.3636              400 kv SIDE OF GMR (GRIDCO) GT -2

GM-03     NP-7900-A        1500           3636.3636              400 kv SIDE OF GMR (GRIDCO) GT -3

GM-04     NP-7899-A        1500           3636.3636              400 kv SIDE OF GMR (GRIDCO) GT -4

GM-05     NP-8083-B        3000           181.1818               20 kv SIDE OF GMR (GRIDCO) GENERATOR -1

GM-06     NP-8084-B        3000           181.1818               20 kv SIDE OF GMR (GRIDCO) GENERATOR -2

GM-07     NP-8085-B        3000           181.1818               20 kv SIDE OF GMR (GRIDCO) GENERATOR -3

GM-08     NP-8086-B        3000           181.1818               20 kv SIDE OF GMR (GRIDCO) GENERATOR -4

GM-09     NP-7931-A        1500           3636.3636              400 KV GMR-ANGUL(PG)-1(MAIN)

GM-10     NP-7483-A        1500           3636.3636              400 KV GMR-MIRAMUNDALI(GRIDCO)

GM-11     NP-7930-A        1500           3636.3636              400 KV GMR-ANGUL(PG)-2(MAIN)

GM-12     NP-7486-A        1500           3636.3636              400 KV GMR BUS SECTIONALIZER

IB-01     NP-8792-A        2000           3636.3636              400 KV IBEUL-SUNDERGARH(PG)-1

IB-03     NP-8795-A        2000           3636.3636              400 KV IBEUL-SUNDERGARH(PG)-2

IB-05     NP-8783-A        2000           3636.3636              400 KV SIDE OF INBEUL 400/6.6 KV STN TRF-1

IB-06     NP-8782-A        2000           3636.3636              400 KV SIDE OF INBEUL 400/6.6 KV STN TRF-2

IB-07     NP-8784-A        2000           3636.3636              400 KV SIDE OF INBEUL GEN TRF-1

IB-08     NP-8796-A        2000           3636.3636              400 KV SIDE OF INBEUL GEN TRF-2

NB-01     NP-8700-A        500            3636.3636              400 KV NABI NAGAR-SASARAM(PG)-1(MAIN)

NB-02     NP-8701-A        500            3636.3636              400 KV NABI NAGAR-SASARAM(PG)-1(CHECK)

NB-03     NP-8757-A        500            3636.3636              400 KV NABI NAGAR-SASARAM(PG)-2(MAIN)

NB-04     NP-8758-A        500            3636.3636              400 KV NABI NAGAR-SASARAM(PG)-2(CHECK)

NB-05     NP-8662-A        500            3636.3636              400 KV SIDE OF NABINAGAR 400/132 KV ICT-2

NB-06     ER-1292-A        1200           1200.0000              132 KV SIDE OF NABINAGAR 400/132 KV ICT-2

NB-07     NP-8892-A        500            3636.3636              400 KV SIDE OF BRBCL NABI NAGAR GT-1

NB-08     ER-1299-A        500            3636.3636              400 KV SIDE OF BRBCL NABI NAGAR GT-2

NB-11     NP-8891-A        500            3636.3636              400 KV SIDE OF NABINAGAR 400/132 KV ICT-1

NB-12     ER-1294-A        1200           1200.0000              132 KV SIDE OF NABINAGAR 400/132 KV ICT-1

JL-01     NP-8737-A        200            2000.0000              220 KV SIDE OF JORETHANG GEN TRF-1

JL-02     NP-8766-A        200            2000.0000              220 KV SIDE OF JORETHANG GEN TRF-2

JL-03     NP-8762-A        400            2000.0000              220 KV JORETHANG(JLHEP)-NEW MELLI-2(PG)(MAIN)

